Number,Type,Family,Morphospecies,Notes,
K4028,A,C,m54,Dark body with gold features. Antennae have 13 segments. Very small partial vein ontop of wing ,
K5010,A,C,m54,*see K4028 for notes,
J2785,A,C,m54,*see K4028 for notes,
J3366,A,I,m55,Looks like m34 but head of horsehead has more of a pentagon off of horse's nose that is not fully closed. Darker in color (?),
K4546,A,I,m55,*see J3366 for notes,
K4545,A,I,m56,"Flat, angled nose and head. ",
J3060,A,I,m57,Snoot dips in/is curvy. Nose comes to a rounded point (very small angle). Shape underneath head is large and rounded but not connected in the middle facing outwards. ,
J3242,A,I,m58,Horse head looks more like a bent finger. ,
J2505,A,I,m59,Elongated neck on horse head. Shape underneath head almost same length as head. ,
J2072,A,I,m59,*see J2505 for notes,
J2809,A,I,m59,*see J2505 for notes,
J2810,A,I,m59,*see J2505 for notes,
J2315,A,I,m59,*see J2505 for notes,
J2349,A,I,m59,*see J2505 for notes,
J3036,A,I,m59,*see J2505 for notes,
J3247T,A,I,m6,Entire body is a gradient. Wings have veins but no visible complete horse head. ,
J3159,A,I,m60,Gap in horsehead at chin area. Horsehead is very rounded. ,
J3436,A,I,m60,*see J3159 for notes. This one is lighter in color but has same gap in horsehead chin area. ,
J3229,A,I,m61,Horse head looks like a race horse running. Shape underneath head is bigger than head itself. ,
J2531,A,I,m62,Horse head does not have a distinct neck from head (one chunky blob). Rounded pentage at end of nose. Line above horsehead is very dark. ,
J3232,A,I,m63,Looks like m2 but veins make a rectangle spilt in half on wings. Bottom half of rectangle not fully connected. ,
J2747,A,T,m64,Golden body- wings have four distinct wing veins on it. Top of wing is fuzzy. ,
J2532,A,I,m65,"Skinny horsehead with small, rectangle nose. Triangle above horsehead. ",
J2264,A,C,m66,Transparent legs. Wings have slight veination as you go towards thorax. One vein ontop that blurrs as it comes down to the surface of the wing. ,
J2042,A,I,m67,Horse head elongated. Shape under horse head (neck) is very skinny and angular. ,
J2497,A,I,m68,Horse head is very rounded (like m46) but horsehead is not complete (neck and head do not fully connect).,
J2268,A,I,m69,Looks similar to m20 and m46 but does not have a complete nose. Line to the immediate left of horse does not connect to horse nose. ,
K4329T,A,I,m7,Horse head looks like it has a little bucket of hay attached to mouth. Very small waist and large abdomen. ,
K4105T,A,I,m7,*see K4329T for notes,
1258,A,I,m7,*see K4329T for notes ,
BF52331/BF52332,A,I,m7,*see K4329T for notes,
1586,A,I,m7,*see K4329T for notes,
1644,A,I,m7,*see K4329T for notes,
2208,A,I,m7,*see K4329T for notes,
1096,A,I,m7,*see K4329T for notes,
2189,A,I,m7,*see K4329T for notes,
BS31032,A,I,m7,*see K4329T for notes,
CB52734,A,I,m7,*see K4329T for notes,
BR52331,A,I,m7,*see K4329T for notes,
BM31832,A,I,m7,*see K4329T for notes,
BT50531,A,I,m7,*see K4329T for notes,
EG32631,A,I,m7,*see K4329T for notes,
EM32731,A,I,m7,*see K4329T for notes,
CA52732,A,I,m7,*see K4329T for notes,
CA68033,A,I,m7,*see K4329T for notes,
DS68033,A,I,m7,*see K4329T for notes,
CF32331,A,I,m7,*see K4329T for notes,
J2566,A,I,m7,*see K4329T for notes,
J2498,A,C,m70,Long black antennae (almost same length of body). Wings have a single small line for veination- connected to top part of wing coming out of small blob of color. ,
CF38021,A,I,m71,Pyre Silk Gold,
BL57123,A,I,m71,,
